kernel,degree,C,gamma,coef0,epsilon,MSE,MAE,R^2-Score,PCC
poly,3,1,0.01,4,0.8,8.968,2.374,0.539,0.742
poly,3,1,0.001,1,0.01,11.258,2.612,0.438,0.751
poly,3,1,0.001,1,0.1,11.095,2.611,0.445,0.753
poly,3,1,0.001,1,0.5,11.828,2.674,0.411,0.754
poly,3,1,0.001,1,0.8,12.698,2.808,0.367,0.749
poly,3,1,0.001,2,0.01,9.385,2.424,0.523,0.742
poly,3,1,0.001,2,0.1,9.461,2.432,0.522,0.743
poly,3,1,0.001,2,0.5,9.377,2.425,0.528,0.751
poly,3,1,0.001,2,0.8,9.99,2.506,0.501,0.745
poly,3,1,0.001,3,0.01,9.301,2.401,0.523,0.737
poly,3,1,0.001,3,0.1,9.223,2.404,0.529,0.742
poly,3,1,0.001,3,0.5,9.308,2.404,0.529,0.747
poly,3,1,0.001,3,0.8,9.06,2.398,0.542,0.75
poly,3,1,0.001,4,0.01,9.313,2.401,0.519,0.734
poly,3,1,0.001,4,0.1,9.07,2.386,0.534,0.742
poly,3,1,0.001,4,0.5,9.404,2.408,0.523,0.742
poly,3,1,0.001,4,0.8,8.85,2.363,0.551,0.751
poly,3,5,0.1,1,0.01,35.399,3.408,-0.997,0.431
poly,3,5,0.1,1,0.1,34.012,3.245,-0.935,0.439
poly,3,5,0.1,1,0.5,27.27,3.148,-0.562,0.447
poly,3,5,0.1,1,0.8,16.745,2.814,0.056,0.548
poly,3,5,0.1,2,0.01,36.29,3.418,-1.046,0.43
poly,3,5,0.1,2,0.1,34.27,3.26,-0.954,0.442
poly,3,5,0.1,2,0.5,30.566,3.243,-0.753,0.426
poly,3,5,0.1,2,0.8,18.543,2.917,-0.041,0.518
poly,3,5,0.1,3,0.01,36.861,3.428,-1.079,0.428
poly,3,5,0.1,3,0.1,34.296,3.262,-0.955,0.443
poly,3,5,0.1,3,0.5,31.627,3.275,-0.813,0.419
poly,3,5,0.1,3,0.8,19.609,2.974,-0.093,0.503
poly,3,5,0.1,4,0.01,37.087,3.434,-1.093,0.427
poly,3,5,0.1,4,0.1,34.393,3.263,-0.961,0.443
poly,3,5,0.1,4,0.5,32.209,3.293,-0.846,0.416
poly,3,5,0.1,4,0.8,20.336,3.005,-0.131,0.497
poly,3,5,0.01,1,0.01,8.325,2.27,0.569,0.761
poly,3,5,0.01,1,0.1,8.367,2.29,0.568,0.759
poly,3,5,0.01,1,0.5,8.4,2.34,0.567,0.76
poly,3,5,0.01,1,0.8,8.788,2.364,0.549,0.747
poly,3,5,0.01,2,0.01,8.245,2.265,0.573,0.764
poly,3,5,0.01,2,0.1,8.36,2.29,0.567,0.759
poly,3,5,0.01,2,0.5,8.223,2.308,0.574,0.759
poly,3,5,0.01,2,0.8,8.915,2.361,0.543,0.744
poly,3,5,0.01,3,0.01,8.315,2.265,0.57,0.761
poly,3,5,0.01,3,0.1,8.34,2.27,0.567,0.758
poly,3,5,0.01,3,0.5,8.223,2.29,0.573,0.759
poly,3,5,0.01,3,0.8,9.089,2.378,0.533,0.74
poly,3,5,0.01,4,0.01,8.431,2.275,0.563,0.757
poly,3,5,0.01,4,0.1,8.371,2.266,0.564,0.756
poly,3,5,0.01,4,0.5,8.222,2.28,0.573,0.758
poly,3,5,0.01,4,0.8,9.21,2.389,0.525,0.736
poly,3,5,0.001,1,0.01,9.257,2.403,0.529,0.743
poly,3,5,0.001,1,0.1,9.275,2.414,0.528,0.741
poly,3,5,0.001,1,0.5,9.344,2.421,0.529,0.751
poly,3,5,0.001,1,0.8,9.635,2.474,0.516,0.743
